Currency,Date,Price ($)
COP,2018-08-01,7341.323255
COP,2018-09-01,6893.197448
COP,2018-10-01,5971.272423
COP,2018-11-01,5770.262665
COP,2018-12-01,3720.538195
COP,2019-01-01,3529.086233
COP,2019-02-01,3188.742201
COP,2019-03-01,3490.451565
COP,2019-04-01,3643.145619
COP,2019-05-01,4736.488778
COP,2019-06-01,8477.48399
COP,2019-07-01,10715.71747
COP,2019-08-01,9641.511765
COP,2019-09-01,9218.413514
COP,2019-10-01,8513.017701
COP,2019-11-01,8690.213916
COP,2019-12-01,6985.67557
COP,2020-01-01,7241.385173
COP,2020-02-01,9135.818503
COP,2020-03-01,8010.375678
COP,2020-04-01,6598.365575
COP,2020-05-01,8748.950007
COP,2020-06-01,8719.827817
COP,2020-07-01,9933.176331
COP,2020-08-01,10930.35291
COP,2020-09-01,11054.66816
COP,2020-10-01,10737.84453
COP,2020-11-01,12871.70166
COP,2020-12-01,18187.54687
COP,2021-01-01,27236.17914
COP,2021-02-01,32731.20272
COP,2021-03-01,45462.11093
COP,2021-04-01,57505.69928
COP,2021-05-01,54360.57966
COP,2021-06-01,35905.84286
COP,2021-07-01,32397.61371
COP,2021-08-01,41689.26322
COP,2021-09-01,53034.40286
COP,2021-10-01,45079.4578
COP,2021-11-01,61158.03394
COP,2021-12-01,56433.38678
COP,2022-01-01,52320.22339
COP,2022-02-01,39155.76134
COP,2022-03-01,42229.74451
COP,2022-04-01,44248.88788
COP,2022-05-01,37299.95528
COP,2022-06-01,30508.6524
COP,2022-07-01,19231.69997
COP,2022-08-01,23083.88961
COP,2022-09-01,19264.32351
COP,2022-10-01,19277.76115
COP,2022-11-01,19275.70466
COP,2022-12-01,17758.73308
CZK,2014-01-01,760.2573024
CZK,2014-02-01,853.8649108
CZK,2014-03-01,582.8497668
CZK,2014-04-01,516.7497458
CZK,2014-05-01,452.140526
CZK,2014-06-01,630.9553305
CZK,2014-07-01,635.6845175
CZK,2014-08-01,598.8117395
CZK,2014-09-01,497.9183087
CZK,2014-10-01,403.5250268
CZK,2014-11-01,356.472768
CZK,2014-12-01,410.0683294
CZK,2015-01-01,301.06454
CZK,2015-02-01,239.044938
CZK,2015-03-01,244.9264983
CZK,2015-04-01,253.888783
CZK,2015-05-01,229.4099752
CZK,2015-06-01,235.2195378
CZK,2015-07-01,125.5284791
CZK,2015-08-01,295.9023218
CZK,2015-09-01,228.560375
CZK,2015-10-01,247.80461
CZK,2015-11-01,316.2302474
CZK,2015-12-01,364.9752219
CZK,2016-01-01,428.6970063
CZK,2016-02-01,375.9261408
CZK,2016-03-01,411.1028981
CZK,2016-04-01,422.5697982
CZK,2016-05-01,435.9055259
CZK,2016-06-01,546.1988273
CZK,2016-07-01,687.4351848
CZK,2016-08-01,620.9268921
CZK,2016-09-01,569.0289955
CZK,2016-10-01,613.460926
CZK,2016-11-01,720.1723125
CZK,2016-12-01,748.8342303
CZK,2017-01-01,968.7427828
CZK,2017-02-01,974.3304422
CZK,2017-03-01,1188.354376
CZK,2017-04-01,1073.869617
CZK,2017-05-01,1377.552119
CZK,2017-06-01,2413.473019
CZK,2017-07-01,2685.969014
CZK,2017-08-01,2835.193032
CZK,2017-09-01,4851.716882
CZK,2017-10-01,4681.226666
CZK,2017-11-01,6426.033294
CZK,2017-12-01,10202.34105
CZK,2018-01-01,16728.26827
CZK,2018-02-01,11665.44086
CZK,2018-03-01,10488.12426
CZK,2018-04-01,6521.518662
CZK,2018-05-01,8841.654404
CZK,2018-06-01,7203.035726
CZK,2018-07-01,7511.137583
CZK,2018-08-01,7943.122213
CZK,2018-09-01,6987.509832
CZK,2018-10-01,6721.115111
CZK,2018-11-01,6413.134235
CZK,2018-12-01,4312.196755
CZK,2019-01-01,3750.444024
CZK,2019-02-01,3424.22219
CZK,2019-03-01,3814.429952
CZK,2019-04-01,4116.308099
CZK,2019-05-01,5291.622681
CZK,2019-06-01,8564.673545
