country,year,bitcoin_premium_(%),bitcoin_return_(%)
Brazil,2023,-12.48408861,6.079309704
Canada,2013,-34.74383049,9.547933026
Canada,2013,31.93510373,55.05702048
Canada,2013,14.8626662,-20.31202243
Canada,2013,20.06594978,-13.69648854
Canada,2013,-23.1905733,-11.18286913
Canada,2013,-8.31484188,24.47245069
Canada,2013,-23.23571656,6.040786531
Canada,2013,-228.4612672,59.36140887
Canada,2013,33.54230307,473.8997771
Canada,2014,0.4320820579,-24.97917423
Canada,2014,25.40711021,-4.041864743
Canada,2014,0.899255553,-32.27270205
Canada,2014,37.3725512,23.36468278
Canada,2014,-11.53854335,-34.15550031
Canada,2014,6.827624034,39.81310584
Canada,2014,7.70515819,0.8218729322
Canada,2014,26.57020077,7.141262231
Canada,2014,25.01230469,-18.59885993
Canada,2014,30.45787098,-12.7321689
Canada,2014,3.25518109,-20.25036962
Canada,2014,35.27833482,32.28608417
Canada,2015,25.45748248,-37.94120523
Canada,2015,-3.9961555,-30.40818233
Canada,2015,-9.559970471,6.633806933
Canada,2015,9.244623674,7.246146237
Canada,2015,14.66817232,6.29001274
Canada,2015,4.861578505,-7.900360453
Canada,2015,-9.546977812,0.8261187497
Canada,2015,19.39884687,16.14010362
Canada,2015,-6.04524288,-24.14757572
Canada,2015,-19.25503942,4.619317657
Canada,2015,-19.52301455,39.48649058
Canada,2015,-11.04255213,10.61114865
Canada,2016,5.588321606,17.51181899
Canada,2016,-9.417637677,-13.90904152
Canada,2016,4.299833177,16.81172813
Canada,2016,-6.002843527,-4.293012597
Canada,2016,-8.890119954,9.195212602
Canada,2016,-22.39667018,16.98907128
Canada,2016,2.955699748,27.39930019
Canada,2016,31.70255572,24.89598236
Canada,2016,-5.782695918,-33.08347196
Canada,2016,-9.098801271,7.488124057
Canada,2016,-0.5619227256,17.01506924
Canada,2016,-14.97421112,5.212075136
Canada,2017,1.994967448,32.36868861
Canada,2017,-9.110485178,-0.9404165406
Canada,2017,9.647706386,22.83895113
Canada,2017,-10.14316226,-9.518202675
Canada,2017,-47.10570971,27.80427313
Canada,2017,-3.426321194,80.31056448
Canada,2017,7.417124007,1.989329596
Canada,2017,-27.71176748,12.79049002
Canada,2017,19.28553096,69.2745959
Canada,2017,-21.36313106,-10.71784322
Canada,2017,-27.17081495,52.8836868
Canada,2017,-42.30289396,56.23328347
Canada,2018,4.389860542,35.49912967
Canada,2018,2.060059207,-35.17014733
Canada,2018,11.12856522,12.53750268
Canada,2018,-16.9745514,-32.7671343
Canada,2018,7.729002873,32.87291666
Canada,2018,12.12759072,-16.38239582
Canada,2018,-15.32110481,-18.30709739
Canada,2018,12.4869745,24.3494114
Canada,2018,8.420873796,-5.512004114
Canada,2018,4.408459626,-6.908229427
Canada,2018,23.01641824,-4.651041991
Canada,2018,12.97558721,-34.54560269
Canada,2019,6.76196099,-6.550278265
Canada,2019,-12.81170498,-16.34016699
Canada,2019,-5.237166569,13.24574485
Canada,2019,-20.98598408,5.487355371
Canada,2019,-38.55681658,28.71449991
Canada,2019,-33.28080663,54.68533795
Canada,2019,-13.39550357,22.66272663
Canada,2019,-6.765344048,3.364703053
Canada,2019,3.402022887,-4.584210532
Canada,2019,-4.252858506,-13.57989569
Canada,2019,12.46570826,9.919099831
Canada,2019,4.051114514,-19.17465999
Canada,2020,-14.24209581,-3.166910599
Canada,2020,-2.605073073,28.12541477
Canada,2020,22.4716228,-7.293527816
Canada,2020,-20.97934332,-24.48273727
Canada,2020,-5.210996862,35.04040622
Canada,2020,3.829992959,14.18907429
Canada,2020,-10.59478415,-7.520360862
Canada,2020,43.35888116,26.9058095
Canada,2020,7.695735644,1.676427421
Canada,2020,-14.12250825,-9.973300486
Canada,2020,-20.12847041,28.21866568
Canada,2020,-22.88903195,38.85507273
Canada,2021,-22.94255035,50.73001605
Canada,2021,-35.81921568,16.19492577
Canada,2021,-12.09485666,42.64757581
Canada,2021,4.780640955,23.48067914
Canada,2021,21.98413251,-1.724025435
Canada,2021,4.431510774,-36.47773715
Canada,2021,-5.815065011,-7.872209508
Canada,2021,-7.129006281,21.32085747
Canada,2021,3.062186642,16.42117677
Canada,2021,-20.81676857,-4.513663356
Canada,2021,-0.2535851232,33.74710556
Canada,2021,11.51603598,-5.628317854
Canada,2022,14.07512863,-18.08981538
Canada,2022,-3.736277899,-18.13553909
Canada,2022,2.411077977,13.23365787
Canada,2022,6.372128576,3.820755202
Canada,2022,12.69982306,-16.4163769
Canada,2022,18.88197706,-19.3233769
Canada,2022,-9.615252394,-35.12584319
Canada,2022,3.594119138,16.827348
Canada,2022,-2.978644326,-14.27660732
Canada,2022,-1.868528362,-2.996658275
Canada,2022,9.308059866,5.85918197
Canada,2022,-1.750186468,-16.47221585
Canada,2023,-22.68855393,-3.391274358
Canada,2023,0.3918895214,41.91165045
Canada,2023,-3.001674984,1.258831784
Canada,2023,-2.175806582,20.00018579
Canada,2023,2.269627057,0.2679954016
Canada,2023,-3.665181063,-4.898736844
Canada,2023,0.02094086331,12.10579454
Canada,2023,4.578866355,-4.128083528
Canada,2023,-2.029308345,-11.80495915
Canada,2023,-12.24778351,7.00515698
Colombia,2013,-20.86593922,10.10020225
Colombia,2013,-41.7745185,16.69389803
Colombia,2013,-9.250061106,42.02350502
Colombia,2013,-36.24752194,-3.258093589
Colombia,2013,-267.0296139,57.67332831
Colombia,2013,21.53816234,443.1750464
Colombia,2014,-42.77385197,-38.23168163
Colombia,2014,23.1111085,33.48881674
Colombia,2014,1.983672153,-29.41565225
Colombia,2014,9.564077864,-15.5040085
Colombia,2014,-10.88372189,-4.357058055
Colombia,2014,-8.52302597,19.33174336
Colombia,2014,5.804149734,15.06285462
Colombia,2014,11.50109195,-9.271124547
Colombia,2014,7.295771127,-20.64276652
Colombia,2014,11.98024417,-14.76233483
Colombia,2014,-14.01512973,-14.35025266
Colombia,2014,6.394073576,7.794168616
Colombia,2015,23.46694213,-12.57976077
Colombia,2015,-7.979078356,-31.18535746
Colombia,2015,-11.87414763,8.427492122
Colombia,2015,0.1054330229,-0.5075738191
Colombia,2015,-2.316441035,-2.427465048
Colombia,2015,-12.15535451,-6.324021743
Colombia,2015,-16.83738324,11.44374544
Colombia,2015,25.53537394,34.07718163
Colombia,2015,-10.87420367,-32.97467926
Colombia,2015,-34.12696476,-2.745019935
Colombia,2015,-18.03355768,58.86109251
Colombia,2015,-21.07982605,0.1775735147
Colombia,2016,-5.624885885,14.53108316
Colombia,2016,-11.17001884,-5.202314899
Colombia,2016,-1.23057468,12.1986901
Colombia,2016,-8.302467568,-0.9118278531
Colombia,2016,-20.58430557,0.7446805459
Colombia,2016,-35.86402552,16.71125217
Colombia,2016,1.751447471,39.68371912
Colombia,2016,2.567889797,-11.3646549
Colombia,2016,-8.806906638,-7.191185934
Colombia,2016,-20.06600601,0.4620950212
Colombia,2016,-0.903048481,28.3426967
Colombia,2016,-20.319331,0.8791316567
Colombia,2017,1.618865838,37.99291494
Colombia,2017,-15.5990139,-6.141782384
Colombia,2017,10.82569166,31.86306744
Colombia,2017,-16.16592924,-15.32785598
Colombia,2017,-58.14477088,25.3837624
Colombia,2017,0.9988478564,102.5057263
Colombia,2017,-38.22727552,-34.61158234
Colombia,2017,-49.07598981,44.26426844
Colombia,2017,9.383252731,75.9995256
Colombia,2017,-36.08817169,-10.610164
Colombia,2017,-47.10906397,48.19814807
Colombia,2017,-46.77720519,75.21878166
Colombia,2018,12.08955978,52.00045369
Colombia,2018,6.246714712,-37.72913769
Colombia,2018,9.11137047,5.335938315
Colombia,2018,-18.42073942,-32.0807931
Colombia,2018,-5.1529402,18.0365865
Colombia,2018,1.589440791,-14.91269642
Colombia,2018,-25.16127351,-15.7029622
Colombia,2018,6.419527357,26.20959615
Colombia,2018,1.453932642,-6.104155769
Colombia,2018,-10.54201739,-13.37441778
Colombia,2018,12.15980459,-3.366280149
Colombia,2018,-0.8010196332,-35.5222039
Colombia,2019,-6.399224831,-5.14581365
Colombia,2019,-19.19536025,-9.643970419
Colombia,2019,-15.03606571,9.461704488
Colombia,2019,-33.66122119,4.374621775
Colombia,2019,-51.5464445,30.01096507
Colombia,2019,-25.98654099,78.98245699
Colombia,2019,-4.018530005,26.40209619
Colombia,2019,-12.51063146,-10.0245803
Colombia,2019,-1.587550359,-4.388297826
Colombia,2019,-2.600118713,-7.652030496
Colombia,2019,7.239229766,2.081473592
Colombia,2019,-2.234070693,-19.61445785
Colombia,2020,-13.70836965,3.660484945
Colombia,2020,-3.715717131,26.161201
Colombia,2020,17.14073671,-12.31901471
Colombia,2020,-18.53711352,-17.62726443
Colombia,2020,-4.990120602,32.59268386
Colombia,2020,-9.951086353,-0.3328649715
Colombia,2020,-2.65034492,13.91482194
Colombia,2020,39.36923393,10.03884904
Colombia,2020,0.6674122739,1.137339792
Colombia,2020,-13.82593331,-2.86597146
Colombia,2020,-28.15874872,19.8723042
Colombia,2020,-28.83653142,41.29869817
Colombia,2021,-29.73459724,49.75180178
Colombia,2021,-38.57541535,20.1754569
Colombia,2021,-17.45930287,38.89532661
Colombia,2021,2.598710953,26.49148512
Colombia,2021,17.03468588,-5.46923116
Colombia,2021,2.25979305,-33.9487491
Colombia,2021,-10.49656957,-9.770635825
Colombia,2021,-5.470897789,28.68004289
Colombia,2021,12.65917159,27.21357673
Colombia,2021,-22.2845345,-14.9995939
Colombia,2021,-0.03541809827,35.66719061
Colombia,2021,9.702121463,-7.725309091
Colombia,2022,22.52951101,-7.28852835
Colombia,2022,-2.309836576,-25.16132615
Colombia,2022,-1.050858177,7.850653554
Colombia,2022,3.939484452,4.78132982
Colombia,2022,11.18831122,-15.70419717
Colombia,2022,18.6035696,-18.20726815
Colombia,2022,-13.19729959,-36.96312864
Colombia,2022,3.100438924,20.03041673
Colombia,2022,-6.321239196,-16.54645803
Colombia,2022,-1.952236046,0.06975401623
Colombia,2022,3.905112879,-0.01066766435
Colombia,2022,2.254663416,-7.869863188
Colombia,2023,-29.01460703,-11.74438415
Colombia,2023,-2.77090412,44.63633609
Colombia,2023,-7.260008032,0.3263125089
Colombia,2023,-3.1744342,23.75177455
Colombia,2023,1.14539213,0.09652301768
Colombia,2023,-5.404691255,-5.392271115
Colombia,2023,-0.03344607078,13.92496564
Colombia,2023,4.516989521,-4.138093469
Colombia,2023,-3.910492347,-13.34547675
Colombia,2023,-13.48502411,7.789979232
Czech Republic,2013,52.79515812,8.981775771
Czech Republic,2013,12.70289142,-57.64619624
Czech Republic,2013,20.67079512,9.687318975
Czech Republic,2013,12.29762154,-26.70708921
Czech Republic,2013,-40.95668638,-14.83363985
Czech Republic,2013,5.477658069,63.20555715
Czech Republic,2013,-17.02699722,-2.552662719
Czech Republic,2013,-240.457797,46.00021893
Czech Republic,2013,27.0618183,442.0077932
Czech Republic,2014,-16.54540905,-29.65783337
Czech Republic,2014,25.40213287,12.31262207
Czech Republic,2014,1.666344513,-31.73981511
Czech Republic,2014,13.53164648,-11.3408334
Czech Republic,2014,-15.88941642,-12.50299981
Czech Republic,2014,3.009615129,39.5485019
Czech Republic,2014,3.854119153,0.7495280207
Czech Republic,2014,12.99710975,-5.800483885
Czech Republic,2014,13.02107352,-16.84894002
Czech Republic,2014,13.14120049,-18.95758405
Czech Republic,2014,-9.085330487,-11.66030746
Czech Republic,2014,16.07862158,15.03496654
Czech Republic,2015,18.29908098,-26.58186004
Czech Republic,2015,0.09702865551,-20.60010189
Czech Republic,2015,-9.534699098,2.460441246
Czech Republic,2015,6.125825758,3.659173186
Czech Republic,2015,-3.826566061,-9.641547575
Czech Republic,2015,-3.980097533,2.532393195
Czech Republic,2015,-126.2032575,-46.63348112
Czech Republic,2015,17.99962996,135.7252506
Czech Republic,2015,-5.945532166,-22.75816776
Czech Republic,2015,-14.96658671,8.419759987
Czech Republic,2015,-25.94605157,27.61273788
Czech Republic,2015,-12.14021448,15.41439342
Czech Republic,2016,4.612350923,17.45920836
Czech Republic,2016,-8.53235545,-12.30959506
Czech Republic,2016,-1.396514431,9.357358662
Czech Republic,2016,-4.573965503,2.789301694
Czech Republic,2016,-13.71145473,3.155863897
Czech Republic,2016,-19.3362116,25.30211132
Czech Republic,2016,4.223552193,25.85804847
Czech Republic,2016,6.796354156,-9.674845596
Czech Republic,2016,-5.410179162,-8.358133181
Czech Republic,2016,-8.391661562,7.808377227
Czech Republic,2016,0.4132080285,17.39497692
Czech Republic,2016,-15.20860848,3.979869443
Czech Republic,2017,-0.4836367144,29.36678687
