Country,Year,Interest Rate,Inflation,Real Interest Rate,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Property Rights,Economic Freedom,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Czech Republic,2017,0.50,0.3,0.20,1.5,15,19,33.5,42.9,70.3,73.3,67.2,77.7,85.8,87,80,80
Switzerland,2017,-0.25,-1.1,0.85,0,11.5,8.5,27.1,33,86.9,81.5,76.8,72.2,84.4,90,85,90
United Kingdom,2017,...,0.1,0.1,1.5,45,20,32.6,43.2,93.8,76.4,89.9,72.8,85,87,90,80
Argentina,2017,28.75,26.5,2.25,6.6,35,35,35.9,43.9,32.4,50.4,57.3,46.1,50.9,66.7,50,50
Brazil,2017,7.00,9,-2.00,7.8,27.5,34,32.8,41.9,55,52.9,61.3,52.3,67,69.4,50,50
Mexico,2017,7.25,2.7,4.55,5,35,30,19.7,27.6,58.1,63.6,70.7,57.9,78.8,80,70,60
Canada,2017,1.00,1.1,-0.10,0.8,33,15,30.8,40.3,88.3,78.5,81.9,73.1,77.8,88.4,80,80
Colombia,2017,4.75,5,-0.25,4.2,33,25,16.7,29.6,63.8,69.7,77.1,77.9,77,81.6,80,70
United States,2017,1.38,0.1,1.28,1.4,39.6,35,26,37.8,81.3,75.1,84.4,91,80.1,87.1,80,70
Indonesia,2017,4.25,6.4,-2.15,2.3,30,25,10.9,17.4,48.3,61.9,49.1,48.9,74,80.5,35,60
Thailand,2017,1.50,-0.9,2.40,3.6,35,20,16.5,22.3,51.3,66.2,69.9,62.8,72.9,82.8,50,60
Malaysia,2017,3.00,2.1,0.90,4.4,28,24,14.8,25.2,85.3,73.8,90.8,73.1,85.3,81.2,60,50
South Korea,2017,1.50,0.7,0.80,5.2,35,22,24.6,32.9,77.8,74.3,90.6,57,84,79.5,65,70
Japan,2017,-0.10,0.8,-0.90,1.2,40.8,23.9,30.3,39.3,89.4,69.6,82.3,77.5,83,82.6,70,60
Australia,2017,1.50,1.5,0.00,1.9,45,30,27.5,37.2,81.7,81,89.3,84.1,86.4,86.2,80,90
New Zealand,2017,1.75,0.3,1.45,1.3,33,28,32.4,41.9,96.1,83.7,91.8,86.2,90.1,87.4,80,80
Singapore,2017,1.52,-0.5,2.02,0,22,17,13.4,20.3,97.1,88.6,95.1,90.8,84.3,90,85,80
South Africa,2017,6.75,4.6,2.15,3.9,41,28,22.6,33.7,67.6,62.3,62,58.9,75.8,77.3,40,50
Israel,2017,0.10,-0.6,0.70,1,48,25,31.1,40.3,71.9,69.7,69.9,64.3,84.9,88,75,70
Russia,2018,7.75,7,0.75,2.8,13,20,29.2,35.3,48.7,58.2,77,52,60.8,79.4,30,30
Turkey,2018,22.50,7.8,14.70,3.2,35,20,30,32.6,54.7,65.4,63.3,47.6,72.3,78.6,75,60
Czech Republic,2018,1.75,0.7,1.05,1.6,15,19,33.5,41.4,73,74.2,72.5,76.8,85.2,86.9,80,80
United Kingdom,2018,...,0.6,0.6,1.6,45,20,32.5,43,92.2,78,91.1,74.4,85.2,86.9,90,80
Switzerland,2018,-0.25,-0.4,0.15,0,40,24,27.9,34,84.2,81.7,75.7,73.9,85.2,90,85,90
Brazil,2018,6.50,8.7,-2.20,8.3,27.5,34,32,40.5,55.8,51.4,58.6,46.8,71.4,68.5,50,50
Argentina,2018,59.25,58.4,0.85,7.4,35,35,31.3,38.5,40.8,52.3,56.2,43.3,51.3,70.3,55,60
Mexico,2018,8.25,2.8,5.45,1,35,30,17.4,27,58.6,64.8,67.5,59.8,79.2,88,75,60
Colombia,2018,4.25,7.5,-3.25,4.2,33,25,16.1,29.2,60.7,68.9,78.6,75.2,73.9,81.6,80,70
Canada,2018,1.75,1.4,0.35,1,33,15,31.9,39.9,87.5,77.7,81.8,71.3,77.5,88.1,80,80
United States,2018,2.38,1.3,1.08,1.6,39.6,35,26.4,38.1,79.3,75.7,82.7,91.4,78.6,86.7,85,80
Malaysia,2018,3.25,2.1,1.15,1.3,25,25,13.8,24.9,83.8,74.5,83.9,75.8,85.6,87.4,60,50
Indonesia,2018,6.00,3.5,2.50,2.3,30,25,10.4,17.6,49.3,64.2,57.3,50.3,81.6,80.5,40,60
Japan,2018,-0.10,-0.1,0.00,1.4,40.8,23.9,32,39.1,86,72.3,81.7,79.2,85.4,82.3,70,60
Thailand,2018,1.75,0.2,1.55,3.5,35,20,15.7,22,48.6,67.1,77.2,62.6,75.5,83.1,55,60
South Korea,2018,1.75,1,0.75,4.8,38,24.2,25.3,32.3,79.4,73.8,90.7,58.7,83.9,80.4,70,70
New Zealand,2018,1.75,0.6,1.15,1.3,33,28,32.8,41,95.1,84.2,91.5,84.4,90,87.4,80,80
Singapore,2018,1.86,-0.5,2.36,0,22,17,13.6,17.7,98.4,88.8,90.9,92.6,85.2,90,85,80
Australia,2018,1.50,1.3,0.20,1.9,45,30,27.8,36,78.7,80.9,89.1,79.7,87.4,86.2,80,90
South Africa,2018,6.75,6.3,0.45,4.2,45,28,30.6,32.6,67.7,63,65.1,60.1,74.6,71.6,50,50
Israel,2018,0.25,-0.5,0.75,2.2,48,25,31.4,40.1,78.2,72.2,71.8,65.1,85.3,85.5,75,70
Russia,2019,6.25,3.7,2.55,3.6,13,20,22.2,35.4,52.4,58.9,78.4,52.5,65.1,77.8,30,30
Turkey,2019,10.50,11.1,-0.60,2.7,35,22,25.5,34.1,55.8,64.6,66,49.2,70,79.6,70,60
Czech Republic,2019,2.00,2.4,-0.40,2,15,19,34,40,74.8,73.7,72.4,78.1,81.5,86,80,80
United Kingdom,2019,...,2.7,2.7,2,45,20,33.2,41.6,92.3,78.9,92.9,73.5,81.2,86,90,80
Switzerland,2019,-0.75,0.5,-1.25,1.3,40,24,27.8,34.3,85.3,81.9,75.4,72.5,85.2,87.4,85,90
Brazil,2019,4.50,3.4,1.10,8,27.5,34,32.2,38.6,57.3,51.9,57.9,51.9,75.5,69,50,50
Argentina,2019,55.00,25.7,29.30,7.5,35,30,30.8,41,47.8,52.2,56.4,46.9,60.2,70,55,60
Mexico,2019,7.25,6,1.25,4.3,35,30,17.2,26.9,59.1,64.7,67.8,58.6,75.9,81.4,75,60
Colombia,2019,4.25,4.3,-0.05,7,33,33,19.9,28.9,59.2,67.3,71.4,78.5,75.6,76,80,70
Canada,2019,1.75,1.6,0.15,1.6,33,15,31.7,40.3,87,77.7,81.9,73.7,77.2,86.8,80,80
United States,2019,1.63,2.1,-0.48,1.7,37,21,26,37.8,79.3,76.8,83.8,89.4,76.6,86.6,85,80
Malaysia,2019,3.00,3.8,-0.80,4,25,25,13.8,23.7,84.1,74,83.9,74.4,78.6,82,60,50
Indonesia,2019,5.00,3.8,1.20,2.6,30,25,10.4,16.9,52.2,65.8,69.3,49.3,77.4,79.8,45,60
Japan,2019,-0.10,0.5,-0.60,2.5,40.8,23.9,30.7,38.7,84.1,72.1,80.5,79,85.9,80,70,60
Thailand,2019,1.25,0.7,0.55,3.5,35,20,15.6,21.8,53.7,68.3,82.5,63.9,75.2,83,55,60
South Korea,2019,1.25,1.9,-0.65,4.8,46.2,27.5,26.3,32.4,79.3,72.3,91.3,57.4,82,80.4,70,70
New Zealand,2019,1.00,1.9,-0.90,1.3,33,28,32.1,40.7,95,84.4,91,86.7,87.5,92.4,80,80
Singapore,2019,2.51,0.6,1.91,0.1,22,17,13.7,17.6,97.4,89.4,90.8,91,85.3,94.8,85,80
